TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
B 738,GARUDA,Komersial,B2
HK 800,AFM,CHARTER,B5
ATR 72,PELITA,Komersial,RW01
BBJ 2,PTN,CHARTER,BASE OPS
A 320,BATIK AIR,Komersial,A3
HK 800,AFM,CHARTER,NSA15
B 733,TRIGANA,cargo,B13
A 320,BATIK AIR,Komersial,A3
KING AIR,AFM,CHARTER,B4
ATR 72,FLY JAYA,Komersial,B2
EMB 135,BGS,CHARTER,B5
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,B3
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B1
B 733,JAYAWIJAYA,cargo,B12
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B2
B 733,TRIGANA,cargo,B9
B 735,CITILINK,Komersial,B10
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,B1
EMB 135,,CHARTER,B4
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B3
ATR 72,CITILINK,Komersial,B4
A 320,BATIK AIR,Komersial,A3
EMB 135,KARISMA,CHARTER,B6
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B2
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B2
BBJ,JIP,CHARTER,B4
C 208,SUSI AIR,Komersial,A2
B 733,AIRNESIA,cargo,B12
A 320,CITILINK,Komersial,B3
A 320,BATIK AIR,Komersial,B1
KING AIR,AFM,CHARTER,B7
A 320,BATIK AIR,Komersial,A3
B 738,GARUDA,Komersial,B2
ATR 72,CITILINK,Komersial,A2
KING AIR,AFM,CHARTER,NSA11
GLEX,KARISMA,CHARTER,B5
PH 300,PURAWISATA,CHARTER,B6
A 320,CITILINK,Komersial,B3
EMB 135,KARISMA,CHARTER,B4
KING AIR,TRAVIRA,CHARTER,B1
A 320,BATIK AIR,Komersial,B7
EMB 135,BGS,CHARTER,B5
GLEX,PREMI,CHARTER,B2
B 733,TRI MG,cargo,B13
PH 300,PURAWISATA,CHARTER,A2
GLEX,KARISMA,CHARTER,RE01
B 733,JAYAWIJAYA,cargo,B10
EMB 135,KARISMA,CHARTER,B4
B 733,TRIGANA,cargo,B11
EMB 135,KARISMA,CHARTER,RW07
A 320,BATIK AIR,Komersial,A3
B 735,CITILINK,Komersial,B9
HK 800,JETSET,CHARTER,B4
GLEX,PREMI,CHARTER,A1
EMB 135,KARISMA,CHARTER,RW08
EMB 135,AMM,CHARTER,RW09
A 320,BATIK AIR,Komersial,B2
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B7
B 734,B. B. N.,CHARTER,B10
ATR 72,CITILINK,Komersial,B3
A 320,CITILINK,Komersial,B1
B 738,GARUDA,Komersial,B5
HK 800,JETSET,CHARTER,A1
BBJ,JIP,CHARTER,B4
B 738,GARUDA,Komersial,B2
G 500,JIP,CHARTER,B5
ATR 72,PELITA,Komersial,A2
EMB 135,AMM,CHARTER,B11
A 320,BATIK AIR,Komersial,B7
B 733,AIRNESIA,cargo,B13
ATR 72,FLY JAYA,Komersial,B2
B 733,TRIGANA,cargo,B12
C 208,SUSI AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B7
G IV,JIP,CHARTER,B4
ATR 72,CITILINK,Komersial,B5
A 320,BATIK AIR,Komersial,B7
PH 300,PREMI,CHARTER,B3
RJ 85,SETNEG,CHARTER,A2
A 320,BATIK AIR,Komersial,B1
G IV,JIP,CHARTER,RE07
A 320,BATIK AIR,Komersial,A3
DO 328,JAS,CHARTER,B11
B 733,TRIGANA,cargo,B13
G IV,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,B5
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,A3
B 733,AIRNESIA,cargo,B8
DO 328,JAS,CHARTER,RW01
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B1
ATR 72,CITILINK,Komersial,B2
C 208,SUSI AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,B7
ATR 72,PELITA,Komersial,A2
B 733,JAYAWIJAYA,cargo,B11
A 320,BATIK AIR,Komersial,A3
G IV,JETSET,CHARTER,B3
G VI,KARISMA,CHARTER,B4
A 320,BATIK AIR,Komersial,B1
A 320,CITILINK,Komersial,B2
PH 300,PREMI,CHARTER,B3
EMB 135,KARISMA,CHARTER,B4
A 320,CITILINK,Komersial,A3
C 212,TRANSWISATA,CHARTER,SA01
G IV,JETSET,CHARTER,RW05
C 212,TRANSWISATA,CHARTER,SA01
A 320,BATIK AIR,Komersial,B7
ATR 72,CITILINK,Komersial,A3
B 738,GARUDA,Komersial,B2
BBJ,JIP,CHARTER,B4
EMB 135,KARISMA,CHARTER,RW10
A 320,BATIK AIR,Komersial,B6
GLEX,PREMI,CHARTER,RW09
A 320,BATIK AIR,Komersial,B7
B 733,TRIGANA,cargo,B13
BBJ,JIP,CHARTER,A2
A 320,CITILINK,Komersial,B1
BBJ 2,PTN,CHARTER,B11
A 320,BATIK AIR,Komersial,B4
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,B2
B 738,GARUDA,Komersial,B3
ATR 72,TAS,CHARTER,B2
PA 34,PENAS,CHARTER,NSA01
CT 650,ENGGANG,CHARTER,NSA02
HK 900,TRI MG,cargo,NSA03
HK 400,TRI MG,cargo,NSA04
HK 800,TRI MG,cargo,NSA05
LJ 31,IAP,CHARTER,NSA06
FOKKER 27,TNI AU,Militer,NSA07
FOKKER 27,TNI AU,Militer,NSA08
FOKKER 28,TNI AU,Militer,NSA09
HK 800,KARISMA,CHARTER,NSA10
KING AIR,AFM,CHARTER,NSA11
HK 900,KARISMA,CHARTER,NSA12
HK 850,KARISMA,CHARTER,NSA13
HK 800,AFM,CHARTER,NSA14
CT 680,JIP,CHARTER,NSA15
LJ 55,BGS,CHARTER,NSA16
GLEX,KARISMA,CHARTER,RE01
GLEX,BIOMANTARA,CHARTER,RE02
EMB 135,AFM,CHARTER,RE03
G VI,PREMI,CHARTER,RE04
G VI,AFM,CHARTER,RE05
DO 328,JAS,CHARTER,RW01
ATR 42,IAT,CHARTER,RW02
EMB 135,KARISMA,CHARTER,RW03
G V,AFM,CHARTER,RW04
G IV,JETSET,CHARTER,RW05
EMB 135,IAT,CHARTER,RW06
EMB 135,KARISMA,CHARTER,RW07
EMB 135,KARISMA,CHARTER,RW08
GLEX,PREMI,CHARTER,RW09
EMB 135,KARISMA,CHARTER,RW10
GLEX,PTN,CHARTER,A1
GLEX,PREMI,CHARTER,A1
EMB 135,PREMI,CHARTER,A1
BBJ,JIP,CHARTER,A2
PH 300,PURAWISATA,CHARTER,A2
ATR 72,CITILINK,Komersial,A3
A 320,CITILINK,Komersial,B1
ATR 72,TAS,CHARTER,B2
B 738,GARUDA,Komersial,B3
A 320,BATIK AIR,Komersial,B4
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,B7
B 735,CITILINK,Komersial,B9
B 734,B. B. N.,CHARTER,B10
BBJ 2,PTN,CHARTER,B11
B 733,TRI MG,cargo,B12
GLEX,PREMI,CHARTER,B3
B 738,GARUDA,Komersial,B4
DO 328,JAS,CHARTER,B9
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,A3
B 733,TRIGANA,cargo,B13
C 208,SUSI AIR,Komersial,B1
G VI,KARISMA,CHARTER,B5
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
ATR 72,CITILINK,Komersial,B2
HK 800,JETSET,CHARTER,A3
A 320,BATIK AIR,Komersial,B1
B 733,TRIGANA,cargo,B12
B 733,JAYAWIJAYA,cargo,B9
B 733,AIRNESIA,cargo,B8
G VI,KARISMA,CHARTER,A1
GLEX,PREMI,CHARTER,B3
G V,AFM,CHARTER,B5
G IV,JETSET,CHARTER,B6
HK 800,JETSET,CHARTER,A2
LJ 55,,CHARTER,B7
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B2
ATR 72,CITILINK,Komersial,B5
B 738,GARUDA,Komersial,A3
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B7
G IV,AFM,CHARTER,B4
ATR 72,FLY JAYA,Komersial,B2
B 735,CITILINK,Komersial,B13
A 320,BATIK AIR,Komersial,B6
C 208,SUSI AIR,Komersial,A1
A 320,BATIK AIR,Komersial,B1
AW 169,KARISMA,CHARTER,WR01
G IV,AFM,CHARTER,RE06
CL 850,JETSET,CHARTER,B4
G IV,JETSET,CHARTER,B3
A 320,BATIK AIR,Komersial,B2
A 320,BATIK AIR,Komersial,B3
ATR 72,TAS,CHARTER,A3
DO 146,PT JAS,CHARTER,B7
G IV,PTN,CHARTER,B6
EMB 135,JETSET,CHARTER,RE07
CL 850,JETSET,CHARTER,RW01
G IV,JETSET,CHARTER,RW04
A 320,BATIK AIR,Komersial,B7
ATR 72,PELITA,Komersial,B3
ATR 72,CITILINK,Komersial,B1
DO 146,PT JAS,CHARTER,RW05
A 320,BATIK AIR,Komersial,B2
A 320,CITILINK,Komersial,B6
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B9
G 500,JIP,CHARTER,B5
G IV,JIP,CHARTER,B4
GLEX,AFM,CHARTER,B5
HK 800,JETSET,CHARTER,RW07
GLEX,,CHARTER,A1
B 733,TRIGANA,cargo,B13
B 738,GARUDA,Komersial,B2
AW 169,,CHARTER,B6
G IV,JIP,CHARTER,A2
A 320,BATIK AIR,Komersial,B6
B 735,CITILINK,Komersial,B12
A 320,CITILINK,Komersial,B8
A 320,BATIK AIR,Komersial,B3
A 320,BATIK AIR,Komersial,B5
A 320,BATIK AIR,Komersial,B6
ATR 72,PELITA,Komersial,A3
B 733,JAYAWIJAYA,cargo,B9
LJ 55,B. G. S.,CHARTER,B4
GLEX,PREMI,CHARTER,B3
B 738,GARUDA,Komersial,B2
LJ 55,B. G. S.,CHARTER,NSA16
G IV,JETSET,CHARTER,B3
EMB 135,KARISMA,CHARTER,B4
B 733,TRI MG,cargo,B10
A 320,BATIK AIR,Komersial,B1
AW 169,KARISMA,CHARTER,B6
ATR 72,FLY JAYA,Komersial,B2
B 734,B. B. N.,CHARTER,B13
AW 169,KARISMA,CHARTER,B5
C 208,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B3
A 320,BATIK AIR,Komersial,B8
ATR 72,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B2
AVANTI,SUSI AIR,Komersial,A3
B 738,GARUDA,Komersial,B3
A 320,BATIK AIR,Komersial,B2
G IV,JETSET,CHARTER,B5
CL 850,JETSET,CHARTER,B6
ATR 72,FLY JAYA,Komersial,A3
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B1
B 735,CITILINK,Komersial,B12
LJ 55,AMM,CHARTER,B9
ATR 72,CITILINK,Komersial,B4
ATR 72,TAS,CHARTER,A3
A 320,BATIK AIR,Komersial,B7
B 733,AIRNESIA,cargo,B10
G IV,JETSET,CHARTER,RW01
GLEX,PTN,CHARTER,B3
B 733,JAYAWIJAYA,cargo,B10
A 320,BATIK AIR,Komersial,B7
ATR 72,CITILINK,Komersial,A3
A 320,CITILINK,Komersial,B8
A 320,BATIK AIR,Komersial,B9
A 320,CITILINK,Komersial,B6
A 320,BATIK AIR,Komersial,B1
B 733,TRIGANA,cargo,B13
G 500,JIP,CHARTER,B4
EMB 135,KARISMA,CHARTER,B5
GV,BIOMANTARA,CHARTER,B5
B 738,GARUDA,Komersial,B2
C 212,TRANSWISATA,CHARTER,SA01
EMB 135,KARISMA,CHARTER,RW04
C 212,TRANSWISATA,CHARTER,SA01
ATR 72,TAS,CHARTER,A1
B 734,B. B. N.,CHARTER,B3
BBJ 2,PTN,CHARTER,BASEOPS
G IV,JIP,CHARTER,B5
ATR 72,PELITA,Komersial,A3
A 320,BATIK AIR,Komersial,B2
GLEX,PREMI,CHARTER,RW09
B 734,B. B. N.,CHARTER,B11
A 320,BATIK AIR,Komersial,B3
B 735,CITILINK,Komersial,B13
ATR 72,PELITA,Komersial,B5
ATR 72,CITILINK,Komersial,A3
B 733,TRIGANA,cargo,B4
A 320,CITILINK,Komersial,B8
A 320,BATIK AIR,Komersial,B2
B 738,GARUDA,Komersial,B1
A 320,BATIK AIR,Komersial,B2
C 208,SUSI AIR,Komersial,B4
C 208,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,B9
PH 300,PREMI,CHARTER,B3
GLEX,PREMI,CHARTER,B4
G IV,TRAVIRA,CHARTER,B7
CT 680,PREMI,CHARTER,RW09
B 733,TRI MG,cargo,B10
CT 700,B.G.S,CHARTER,B6
EMB 135,PTN,CHARTER,A3
A 320,BATIK AIR,Komersial,B2
DO 328,JAS,CHARTER,B10
PH 300,PREMI,CHARTER,B3
EMB 135,PTN,CHARTER,RW05
CT 680,PREMI,CHARTER,B7
C 208,SUSI AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B1
L 1000,PREMI,CHARTER,B4
A 320,BATIK AIR,Komersial,B2
B 733,TRIGANA,cargo,B13
A 320,BATIK AIR,Komersial,B1
HK 900,KARISMA,CHARTER,B5
PH 300,PREMI,CHARTER,NSA12
ATR 72,CITILINK,Komersial,B3
C 208,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B6
B 733,JAYAWIJAYA,cargo,B9
A 320,BATIK AIR,Komersial,B8
B 738,GARUDA,Komersial,B3
A 320,BATIK AIR,Komersial,B1
B 735,CITILINK,Komersial,B12
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B9
ATR 72,CITILINK,Komersial,B2
ATR 72,FLY JAYA,Komersial,B5
A 320,BATIK AIR,Komersial,B1
L 1000,PREMI,CHARTER,A1
GLEX,BIOMANTARA,CHARTER,B10
A 320,BATIK AIR,Komersial,B2
GLEX,BIOMANTARA,CHARTER,RE02
G IV,TRAVIRA,CHARTER,B7
BBJ,JIP,CHARTER,B4
CL 850,JETSET,CHARTER,B6
B 733,TRIGANA,cargo,B10
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,A2
ATR 72,FLY JAYA,Komersial,B3
A 320,BATIK AIR,Komersial,B1
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B7
ATR 72,PELITA,Komersial,A3
AW 139,TRAVIRA,CHARTER,SA01
B 733,JAYAWIJAYA,cargo,B12
A 320,CITILINK,Komersial,B2
CL 850,JETSET,CHARTER,RW09
B 738,GARUDA,Komersial,B5
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B1
LJ 55,B. G. S.,CHARTER,B4
CL 850,PREMI,CHARTER,B3
B 735,CITILINK,Komersial,B12
LJ 55,BGS,CHARTER,NSA12
CL 850,PREMI,CHARTER,RW05
A 320,BATIK AIR,Komersial,B1
CT 700,BGS,CHARTER,B4
A 320,CITILINK,Komersial,B7
B 734,B. B. N.,CHARTER,B11
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B9
GLEX,PREMI,CHARTER,B3
GLEX,PREMI,CHARTER,RW10
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,B8
G VI,PREMI,CHARTER,B3
HK 800,JETSET,CHARTER,B4
B 733,TRI MG,cargo,B10
EMB 135,KARISMA,CHARTER,B5
A 320,BATIK AIR,Komersial,B1
G IV,JIP,CHARTER,B6
CL 850,PREMI,CHARTER,B3
ATR 72,FLY JAYA,Komersial,B2
G VI,KARISMA,CHARTER,B4
C 208,SUSI AIR,Komersial,A2
B 733,TRIGANA,cargo,B13
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B8
ATR 72,CITILINK,Komersial,B2
C 208,SUSI AIR,Komersial,B1
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,B3
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,A2
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B1
ATR 72,CITILINK,Komersial,A2
A 320,BATIK AIR,Komersial,A3
B 733,JAYAWIJAYA,cargo,B13
HK 850,KARISMA,CHARTER,B4
C 208,SUSI AIR,Komersial,A2
G IV,JIP,CHARTER,B3
G VI,AFM,CHARTER,B5
B 733,TRIGANA,cargo,B12
B 733,TRIGANA,cargo,B13
ATR 72,FLY JAYA,Komersial,B1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B7
CT 680,JIP,CHARTER,B4
ATR 72,PELITA,Komersial,A2
A 320,BATIK AIR,Komersial,B8
B 738,GARUDA,Komersial,B2
ATR 72,CITILINK,Komersial,A3
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,B10
G IV,JIP,CHARTER,A1
EMB 135,KARISMA,CHARTER,B3
EMB 135,KARISMA,CHARTER,RW05
HK 800,JETSET,CHARTER,B7
B 735,CITILINK,Komersial,B11
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B2
HK 800,JETSET,CHARTER,RW07
A 320,BATIK AIR,Komersial,B3
A 320,CITILINK,Komersial,B2
GLEX,PTN,CHARTER,B4
B 734,B. B. N.,CHARTER,B13
A 320,BATIK AIR,Komersial,B7
B 738,GARUDA,Komersial,B3
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B1
GLEX,PTN,CHARTER,RW08
ATR 72,TAS,CHARTER,A3
HK 800,JETSET,CHARTER,B5
EMB 135,AFM,CHARTER,B4
PH 300,PURAWISATA,CHARTER,B7
B 733,TRI MG,cargo,B10
A 320,BATIK AIR,Komersial,A3
AW 109,TRANSWISATA,CHARTER,B6
R 66,PTN,CHARTER,WR01
B 733,TRIGANA,cargo,B10
ATR 72,FLY JAYA,Komersial,B2
C 208,SUSI AIR,Komersial,A2
C 208,SUSI AIR,Komersial,A3
G VI,BIOMANTARA,CHARTER,RE03
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,B1
B 733,JAYAWIJAYA,cargo,B12
PH 300,PREMI,CHARTER,B3
A 320,BATIK AIR,Komersial,A2
ATR 72,CITILINK,Komersial,B2
G VI,BIOMANTARA,CHARTER,B4
AW 109,TRANSWISATA,CHARTER,B5
A 320,BATIK AIR,Komersial,A3
GLEX,KARISMA,CHARTER,B5
A 320,BATIK AIR,Komersial,B7
ATR 72,FLY JAYA,Komersial,B1
HK 900,KARISMA,CHARTER,B3
B 738,GARUDA,Komersial,B1
A 320,CITILINK,Komersial,A2
G VI,PREMI,CHARTER,B2
GLEX,KARISMA,CHARTER,B8
A 320,BATIK AIR,Komersial,B7
HK 900,KARISMA,CHARTER,NSA14
ATR 72,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B7
R 66,ENGGANG,CHARTER,WR01
G 7500,PREMI,CHARTER,B3
GLEX,KARISMA,CHARTER,RE01
PH 300,PREMI,CHARTER,B4
PH 300,PURAWISATA,CHARTER,B5
A 320,BATIK AIR,Komersial,B1
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,B7
ATR 72,FLY JAYA,Komersial,B2
B 733,TRIGANA,cargo,B11
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B2
ATR 72,TAS,CHARTER,B2
B 738,GARUDA,Komersial,B4
ATR 72,CITILINK,Komersial,A2
ATR 72,PELITA,Komersial,B5
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,A3
A 320,CITILINK,Komersial,B1
CL 850,PREMI,CHARTER,B3
B 733,JAYAWIJAYA,cargo,B12
A 320,BATIK AIR,Komersial,B7
B 735,CITILINK,Komersial,B13
ATR 72,PELITA,Komersial,RE03
PH 300,PURAWISATA,CHARTER,A2
A 320,BATIK AIR,Komersial,A3
ATR 72,TAS,CHARTER,RW07
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B7
B 734,B. B. N.,CHARTER,B11
A 320,BATIK AIR,Komersial,A3
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,B7
B 738,GARUDA,Komersial,B2
GLEX,KARISMA,CHARTER,B4
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,A2
PH 300,PURAWISATA,CHARTER,A2
LJ 55,B.G.S,CHARTER,B6
ATR 42,IAT,CHARTER,B3
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,A3
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B7
B 733,JAYAWIJAYA,cargo,B12
B 733,TRIGANA,cargo,B10
ATR 72,CITILINK,Komersial,A2
B 733,TRIGANA,cargo,B13
AS 350,DERAZONA,CHARTER,WR01
A 320,BATIK AIR,Komersial,A3
G VI,KARISMA,CHARTER,B4
C 208,SUSI AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,A3
G VI,KARISMA,CHARTER,A1
ATR 72,CITILINK,Komersial,B6
A 320,CITILINK,Komersial,B2
B 738,GARUDA,Komersial,B3
A 320,BATIK AIR,Komersial,B7
A 320,CITILINK,Komersial,B1
HK 800,JETSET,CHARTER,B4
B 735,CITILINK,Komersial,B12
B 733,JAYAWIJAYA,cargo,B10
A 320,BATIK AIR,Komersial,A3
HK 800,JETSET,CHARTER,NSA12
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B1
EMB 135,AFM,CHARTER,B4
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B3
EMB 135,AFM,CHARTER,RE01
A 320,BATIK AIR,Komersial,B9
HK 800,JETSET,CHARTER,B4
A 320,BATIK AIR,Komersial,B5
G IV,JIP,CHARTER,B3
B 733,TRIGANA,cargo,B11
ATR 72,FLY JAYA,Komersial,B2
C 208,SUSI AIR,Komersial,A2
B 734,B. B. N.,CHARTER,B13
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,B2
G IV,JIP,CHARTER,A1
G IV,JETSET,CHARTER,B5
A 320,BATIK AIR,Komersial,B8
CL 850,JETSET,CHARTER,B4
PH 300,PURAWISATA,CHARTER,B7
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,A3
A 320,CITILINK,Komersial,B3
B 738,GARUDA,Komersial,B2
ATR 72,FLY JAYA,Komersial,A2
B 733,TRIGANA,cargo,B11
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,B3
C 172,GENESA,CHARTER,SA01
A 320,BATIK AIR,Komersial,B1
ATR 72,PELITA,Komersial,A2
A 320,BATIK AIR,Komersial,B7
G V,TRAVIRA,CHARTER,SA01
A 320,BATIK AIR,Komersial,A3
A 320,CITILINK,Komersial,B2
GLEX,KARISMA,CHARTER,RW08
G VI,AFM,CHARTER,B3
G IV,JIP,CHARTER,B4
B 733,JAYAWIJAYA,cargo,B10
ATR 72,CITILINK,Komersial,A2
A 320,BATIK AIR,Komersial,B1
G 500,JIP,CHARTER,B6
G VI,BIOMANTARA,CHARTER,B5
CL 850,JETSET,CHARTER,B4
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,A3
G VI,AFM,CHARTER,RE02
CL 850,JETSET,CHARTER,RW09
A 320,BATIK AIR,Komersial,B7
FAL 7X,GAPURA,CHARTER,BASEOPS
FAL 7X,GAPURA,CHARTER,SA01
C 130,TNI AU,Militer,SA02
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B11
ATR 72,TAS,CHARTER,B3
BBJ 2,PTN,CHARTER,B8
B 733,TRI MG,cargo,B6
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B2
B 733,TRIGANA,cargo,B7
A 320,BATIK AIR,Komersial,B3
C 208,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B2
ATR 72,CITILINK,Komersial,B5
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
ATR 72,FLY JAYA,Komersial,B2
G IV,JIP,CHARTER,B3
B 738,GARUDA,Komersial,B4
C 208,SUSI AIR,Komersial,A2
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
G IV,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,B2
ATR 72,CITILINK,Komersial,A2
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,A3
EMB 135,JETSET,CHARTER,RW02
A 320,BATIK AIR,Komersial,B1
ATR 72,TAS,CHARTER,B1
ATR 42,IAT,CHARTER,A3
A 320,BATIK AIR,Komersial,B1
A 320,CITILINK,Komersial,B3
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,B7
ATR 72,FLY JAYA,Komersial,A2
A 320,CITILINK,Komersial,B3
ATR 72,CITILINK,Komersial,B6
B 735,CITILINK,Komersial,B13
A 320,BATIK AIR,Komersial,B11
C 17,AFM,CHARTER,SA01
ATR 72,TAS,CHARTER,A1
ATR 42,IAT,CHARTER,RW09
B 733,TRIGANA,cargo,B9
B 733,TRIGANA,cargo,B12
BBJ 2,PTN,CHARTER,SA03
ATR 72,CITILINK,Komersial,A2
A 320,BATIK AIR,Komersial,B6
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B8
B 734,B. B. N.,CHARTER,B11
B 738,GARUDA,Komersial,B2
C 17,AFM,CHARTER,SA01
ATR 72,PELITA,Komersial,B5
G VI,PREMI,CHARTER,B3
PH 300,PREMI,CHARTER,B4
B 733,TRIGANA,cargo,B9
B 733,TRI MG,cargo,B12
B 733,JAYAWIJAYA,cargo,B10
G V,TRAVIRA,CHARTER,B7
A 320,BATIK AIR,Komersial,B6
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,B1
C 172,GENESA,CHARTER,SA02
A 320,BATIK AIR,Komersial,B2
B 733,TRIGANA,cargo,B13
A 320,BATIK AIR,Komersial,B8
B 738,GARUDA,Komersial,B5
A 320,BATIK AIR,Komersial,B7
ATR 72,CITILINK,Komersial,A3
C 130,TNI AU,Militer,SA02
C 208,SUSI AIR,Komersial,A2
PH 300,PURAWISATA,CHARTER,B6
CT 700,JETSET,CHARTER,B4
A 320,BATIK AIR,Komersial,B1
ATR 72,TRAVIRA,CHARTER,A2
ATR 42,IAT,CHARTER,B5
B 738,TNI AU,Militer,BASEOPS
ATR 72,FLY JAYA,Komersial,A3
A 320,BATIK AIR,Komersial,B7
B 735,CITILINK,Komersial,B12
B 738,GARUDA,Komersial,B3
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,B5
A 320,BATIK AIR,Komersial,B7
B 733,TRIGANA,cargo,B13
A 320,BATIK AIR,Komersial,B6
GLEX,PTN,CHARTER,B3
ATR 72,FLY JAYA,Komersial,B2
ATR 72,TAS,CHARTER,A1
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B5
A 320,CITILINK,Komersial,B1
GLEX,KARISMA,CHARTER,B3
