aircraft_type,operator_airline,category,airline_category,aircraft_airline,aircraft_category,parking_stand,aircraft_type_enc,operator_airline_enc,category_enc,airline_category_enc,aircraft_airline_enc,aircraft_category_enc,parking_stand_enc
ATR 72,CITILINK,Komersial,CITILINK|Komersial,ATR 72|CITILINK,ATR 72|Komersial,B1,4,8,2,8,6,5,4
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A2,0,5,2,5,0,0,2
BBJ,JIP,Charter,JIP|Charter,BBJ|JIP,BBJ|Charter,B3,11,15,1,15,20,14,10
GLEX,AFM,Charter,AFM|Charter,GLEX|AFM,GLEX|Charter,B6,34,0,1,0,60,37,13
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,B2,0,8,2,8,1,0,9
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B7,0,5,2,5,0,0,14
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,A3,0,8,2,8,1,0,3
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B8,0,5,2,5,0,0,15
G IV,JETSET,Charter,JETSET|Charter,G IV|JETSET,G IV|Charter,B4,30,14,1,14,48,33,11
ATR 72,PELITA,Charter,PELITA|Charter,ATR 72|PELITA,ATR 72|Charter,A1,4,17,1,17,7,4,1
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B1,0,5,2,5,0,0,4
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A2,0,5,2,5,0,0,2
B 733,TRIGANA,Cargo,TRIGANA|Cargo,B 733|TRIGANA,B 733|Cargo,B11,7,27,0,27,15,9,6
GLEX,PREMI,Charter,PREMI|Charter,GLEX|PREMI,GLEX|Charter,B3,34,19,1,19,63,37,10
B 738,GARUDA,Komersial,GARUDA|Komersial,B 738|GARUDA,B 738|Komersial,B2,10,11,2,11,18,12,9
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,B9,0,8,2,8,1,0,16
PH 300,PURAWISATA,Charter,PURAWISATA|Charter,PH 300|PURAWISATA,PH 300|Charter,B6,41,21,1,21,80,44,13
EMB 135,AFM,Charter,AFM|Charter,EMB 135|AFM,EMB 135|Charter,B4,24,0,1,0,36,27,11
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,A2,0,8,2,8,1,0,2
ATR 72,CITILINK,Komersial,CITILINK|Komersial,ATR 72|CITILINK,ATR 72|Komersial,A3,4,8,2,8,6,5,3
CT 680,JIP,Charter,JIP|Charter,CT 680|JIP,CT 680|Charter,B4,21,15,1,15,32,24,11
B 733,TRIGANA,Cargo,TRIGANA|Cargo,B 733|TRIGANA,B 733|Cargo,B12,7,27,0,27,15,9,7
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B7,0,5,2,5,0,0,14
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B2,0,5,2,5,0,0,9
B 734,B. B. N.,Cargo,B. B. N.|Cargo,B 734|B. B. N.,B 734|Cargo,B10,8,4,0,4,16,10,5
HK 900,KARISMA,Charter,KARISMA|Charter,HK 900|KARISMA,HK 900|Charter,B4,37,16,1,16,69,40,11
